ANZSRC 2020 Code,ANZSRC 2020 Name,ANZSRC 2008 Code,Partial Match,ANZSRC 2008 Name
300101,"""Agricultural biotechnology diagnostics (incl. biosensors)""",100101,,"""Agricultural Biotechnology Diagnostics (incl. Biosensors)"""
300102,"""Agricultural marine biotechnology""",100102,,"""Agricultural Marine Biotechnology"""
300103,"""Agricultural molecular engineering of nucleic acids and proteins""",100103,,"""Agricultural Molecular Engineering of Nucleic Acids and Proteins"""
300104,"""Genetically modified animals""",100104,,"""Genetically Modified Animals"""
300105,"""Genetically modified field crops and pasture""",100105,,"""Genetically Modified Field Crops and Pasture"""
300106,"""Genetically modified horticulture plants""",100106,,"""Genetically Modified Horticulture Plants"""
300107,"""Genetically modified trees""",100107,,"""Genetically Modified Trees"""
300108,"""Livestock cloning""",100108,,"""Livestock Cloning"""
300109,"""Non-genetically modified uses of biotechnology""",070201,p ,"""Animal Breeding"""
300109,"""Non-genetically modified uses of biotechnology""",070305,p ,"""Crop and Pasture Improvement (Selection and Breeding)"""
300109,"""Non-genetically modified uses of biotechnology""",070602,p ,"""Horticultural Crop Improvement (Selection and Breeding)"""
300110,"""Transgenesis """,100109,,"""Transgenesis """
300199,"""Agricultural biotechnology not elsewhere classified""",100199,,"""Agricultural Biotechnology not elsewhere classified"""
300199,"""Agricultural biotechnology not elsewhere classified""",109999,p,"""Technology not elsewhere classified"""
300201,"""Agricultural hydrology""",079901,,"""Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)"""
300202,"""Agricultural land management""",070101,,"""Agricultural Land Management"""
300203,"""Agricultural land planning""",070102,,"""Agricultural Land Planning"""
300204,"""Agricultural management of nutrients""",050304,p ,"""Soil Chemistry (excl. Carbon Sequestration Science)"""
300204,"""Agricultural management of nutrients""",070302,p ,"""Agronomy """
300204,"""Agricultural management of nutrients""",070306,p ,"""Crop and Pasture Nutrition"""
300205,"""Agricultural production systems simulation""",070103,,"""Agricultural Production Systems Simulation"""
300206,"""Agricultural spatial analysis and modelling""",070104,,"""Agricultural Spatial Analysis and Modelling"""
300207,"""Agricultural systems analysis and modelling""",070105,,"""Agricultural Systems Analysis and Modelling"""
300207,"""Agricultural systems analysis and modelling""",070107,,"""Farming Systems Research"""
300208,"""Farm management, rural management and agribusiness""",070106,,"""Farm Management, Rural Management and Agribusiness"""
300209,"""Germplasm management""",070305,p ,"""Crop and Pasture Improvement (Selection and Breeding)"""
300209,"""Germplasm management""",070399,p ,"""Crop and Pasture Production not elsewhere classified"""
300209,"""Germplasm management""",070602,p ,"""Horticultural Crop Improvement (Selection and Breeding)"""
300210,"""Sustainable agricultural development""",070108,,"""Sustainable Agricultural Development"""
300299,"""Agriculture, land and farm management not elsewhere classified""",070199,,"""Agriculture, Land and Farm Management not elsewhere classified"""
300301,"""Animal growth and development""",070202,,"""Animal Growth and Development"""
300302,"""Animal management""",070203,,"""Animal Management"""
300303,"""Animal nutrition""",070204,,"""Animal Nutrition """
300304,"""Animal protection (incl. pests and pathogens)""",070205,,"""Animal Protection (Pests and Pathogens)"""
300305,"""Animal reproduction and breeding""",070201,p ,"""Animal Breeding"""
300305,"""Animal reproduction and breeding""",070206,,"""Animal Reproduction"""
300306,"""Animal welfare""",070207,,"""Humane Animal Treatment"""
300307,"""Environmental studies in animal production""",050211,p ,"""Wildlife and Habitat Management"""
300307,"""Environmental studies in animal production""",070203,,"""Animal Management"""
300399,"""Animal production not elsewhere classified""",070299,,"""Animal Production not elsewhere classified"""
300401,"""Agrochemicals and biocides (incl. application)""",079902,p ,"""Fertilisers and Agrochemicals (incl. Application) """
300402,"""Agro-ecosystem function and prediction""",070301,,"""Agro-Ecosystem Function and Prediction"""
300403,"""Agronomy""",070302,p ,"""Agronomy """
300404,"""Crop and pasture biochemistry and physiology""",070303,,"""Crop and Pasture Biochemistry and Physiology"""
300405,"""Crop and pasture biomass and bioproducts""",070304,,"""Crop and Pasture Biomass and Bioproducts"""
300406,"""Crop and pasture improvement (incl. selection and breeding)""",070305,p ,"""Crop and Pasture Improvement (Selection and Breeding)"""
300407,"""Crop and pasture nutrition""",070306,p ,"""Crop and Pasture Nutrition"""
300408,"""Crop and pasture post harvest technologies (incl. transportation and storage)""",070307,,"""Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage)"""
300409,"""Crop and pasture protection (incl. pests, diseases and weeds)""",070308,p ,"""Crop and Pasture Protection (Pests, Diseases and Weeds)"""
300410,"""Crop and pasture waste water use""",070308,p ,"""Crop and Pasture Protection (Pests, Diseases and Weeds)"""
300410,"""Crop and pasture waste water use""",079902,p ,"""Fertilisers and Agrochemicals (incl. Application) """
300411,"""Fertilisers (incl. application)""",079902,p ,"""Fertilisers and Agrochemicals (incl. Application) """
300412,"""Organic and low chemical input crop production""",070399,p ,"""Crop and Pasture Production not elsewhere classified"""
300412,"""Organic and low chemical input crop production""",070699,p ,"""Horticultural Production not elsewhere classified"""
300413,"""Pollination biology and systems""",060703,p ,"""Plant Developmental and Reproductive Biology"""
300413,"""Pollination biology and systems""",060899,p ,"""Zoology not elsewhere classified"""
300499,"""Crop and pasture production not elsewhere classified""",070399,p ,"""Crop and Pasture Production not elsewhere classified"""
300501,"""Aquaculture""",070401,,"""Aquaculture"""
300502,"""Aquaculture and fisheries stock assessment""",070402,,"""Aquatic Ecosystem Studies and Stock Assessment"""
300503,"""Fish pests and diseases""",070404,,"""Fish Pests and Diseases"""
300504,"""Fish physiology and genetics""",070405,,"""Fish Physiology and Genetics"""
300505,"""Fisheries management""",070403,,"""Fisheries Management"""
300506,"""Post-harvest fisheries technologies (incl. transportation)""",070406,,"""Post-Harvest Fisheries Technologies (incl. Transportation)"""
300599,"""Fisheries sciences not elsewhere classified""",070499,,"""Fisheries Sciences not elsewhere classified"""
300601,"""Beverage chemistry and beverage sensory science""",090806 ,p ,"""Wine Chemistry and Wine Sensory Science"""
300602,"""Food chemistry and food sensory science """,090801,,"""Food Chemistry and Molecular Gastronomy (excl. Wine)"""
300603,"""Food nutritional balance""",090803,,"""Food Nutritional Balance"""
300604,"""Food packaging, preservation and processing""",090804,p ,"""Food Packaging, Preservation and Safety"""
300604,"""Food packaging, preservation and processing""",090805,p ,"""Food Processing"""
300605,"""Food safety, traceability, certification and authenticity""",090804,p ,"""Food Packaging, Preservation and Safety"""
300605,"""Food safety, traceability, certification and authenticity""",150599,p ,"""Marketing not elsewhere classified"""
300606,"""Food sustainability""",090804,p ,"""Food Packaging, Preservation and Safety"""
300606,"""Food sustainability""",090899,p ,"""Food Sciences not elsewhere classified"""
300607,"""Food technology""",090802,p ,"""Food Engineering """
300607,"""Food technology""",090805,p ,"""Food Processing"""
300607,"""Food technology""",090806,p ,"""Wine Chemistry and Wine Sensory Science"""
300699,"""Food sciences not elsewhere classified""",090899,p ,"""Food Sciences not elsewhere classified"""
300701,"""Agroforestry""",070501,,"""Agroforestry """
300702,"""Forest biodiversity""",060208,p ,"""Terrestrial Ecology """
300702,"""Forest biodiversity""",060299,p ,"""Ecology not elsewhere classified"""
300702,"""Forest biodiversity""",070504,p ,"""Forestry Management and Environment"""
300703,"""Forest ecosystems""",060208,p ,"""Terrestrial Ecology """
300703,"""Forest ecosystems""",060299,p ,"""Ecology not elsewhere classified"""
300703,"""Forest ecosystems""",070504,p ,"""Forestry Management and Environment"""
300704,"""Forest health and pathology""",070505,,"""Forestry Pests, Health and Diseases"""
300705,"""Forestry biomass and bioproducts""",070502,,"""Forestry Biomass and Bioproducts"""
300706,"""Forestry fire management""",070503,,"""Forestry Fire Management"""
300707,"""Forestry management and environment""",070504,p ,"""Forestry Management and Environment"""
300708,"""Forestry product quality assessment""",070506,,"""Forestry Product Quality Assessment"""
300709,"""Tree improvement (incl. selection and breeding)""",070507,,"""Tree Improvement (Selection and Breeding) """
300710,"""Tree nutrition and physiology""",070508,,"""Tree Nutrition and Physiology"""
300711,"""Wood fibre processing""",070509,,"""Wood Fibre Processing"""
300712,"""Wood processing""",070510,,"""Wood Processing"""
300799,"""Forestry sciences not elsewhere classified""",070599,,"""Forestry Sciences not elsewhere classified"""
300801,"""Field organic and low chemical input horticulture""",070601,p ,"""Horticultural Crop Growth and Development"""
300801,"""Field organic and low chemical input horticulture""",070604,p ,"""Oenology and Viticulture """
300802,"""Horticultural crop growth and development""",070601,p ,"""Horticultural Crop Growth and Development"""
300803,"""Horticultural crop improvement (incl. selection and breeding)""",070602,p ,"""Horticultural Crop Improvement (Selection and Breeding)"""
300804,"""Horticultural crop protection (incl. pests, diseases and weeds)""",070603,,"""Horticultural Crop Protection (Pests, Diseases and Weeds)"""
300805,"""Oenology and viticulture""",070604,p ,"""Oenology and Viticulture """
300806,"""Post harvest horticultural technologies (incl. transportation and storage)""",070605,,"""Post Harvest Horticultural Technologies (incl. Transportation and Storage)"""
300899,"""Horticultural production not elsewhere classified""",070699,p ,"""Horticultural Production not elsewhere classified"""
300901,"""Veterinary anaesthesiology and intensive care""",070701,,"""Veterinary Anaesthesiology and Intensive Care"""
300902,"""Veterinary anatomy and physiology""",070702,,"""Veterinary Anatomy and Physiology """
300903,"""Veterinary bacteriology""",070707,p ,"""Veterinary Microbiology (excl. Virology)"""
300904,"""Veterinary diagnosis and diagnostics""",070703,p ,"""Veterinary Diagnosis and Diagnostics"""
300905,"""Veterinary epidemiology""",070704,,"""Veterinary Epidemiology"""
300906,"""Veterinary immunology""",070705,,"""Veterinary Immunology"""
300907,"""Veterinary medicine (excl. urology)""",070706,p ,"""Veterinary Medicine"""
300908,"""Veterinary mycology""",070707,p ,"""Veterinary Microbiology (excl. Virology)"""
300909,"""Veterinary parasitology""",070708,,"""Veterinary Parasitology"""
300910,"""Veterinary pathology""",070709,,"""Veterinary Pathology"""
300911,"""Veterinary pharmacology""",070710,,"""Veterinary Pharmacology"""
300912,"""Veterinary surgery""",070711,,"""Veterinary Surgery"""
300913,"""Veterinary urology""",070703,p ,"""Veterinary Diagnosis and Diagnostics"""
300913,"""Veterinary urology""",070706,p ,"""Veterinary Medicine"""
300914,"""Veterinary virology""",070712,,"""Veterinary Virology"""
300999,"""Veterinary sciences not elsewhere classified""",070799,,"""Veterinary Sciences not elsewhere classified"""
